	Adult_AdrenalGland	Adult_Colon	Adult_Esophagus	Adult_GallBladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Ovary	Adult_Pancreas	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_SpinalCord	Adult_UrinaryBladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Placenta	Fetal_Testis	Immune_CD4	Immune_Monocyte	Immune_NK
REAC:5389840	16.8012925006651	0	0	0	0	4.93367425296013	0	0	0	0	0	0	0	0	0	0	0	8.0194528071989	0	4.72170400224404	0	0	0	0
REAC:5653656	6.84948637085816	0	0	0	0	0	0	0	0	7.53137639689347	0	0	0	0	0	0	0	0	0	4.92813407258451	0	0	0	0
GO:0061061	0	6.71713491937349	0	0	29.4761813618837	0	0	0	0	0	0	4.70168108636893	0	0	0	0	0	7.13842709671714	0	0	0	0	0	0
GO:0090131	0	10.5013245532917	0	0	0	0	0	0	0	0	10.6458249772868	0	0	0	12.0820866657492	0	0	0	0	0	0	0	0	0
GO:0031589	0	6.84009663050832	0	0	0	0	0	4.60517018598809	0	0	19.078460780675	9.2637411487033	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043062	0	18.5599428112859	0	44.3560862512058	0	0	0	22.6822612255504	0	9.5430198103587	33.5642167549126	37.9469983915098	0	0	0	0	0	0	0	5.67519501780429	0	0	0	0
GO:0030198	0	18.6425750758661	0	44.4706634219685	0	0	0	22.763486665473	0	9.60042437804604	33.6801147758732	38.0255316649345	0	0	0	0	0	0	0	5.72296529407298	0	0	0	0
GO:0003013	0	7.5616817463888	0	0	14.2759599744052	0	0	0	0	0	0	0	0	0	0	0	0	15.6418614719619	0	0	0	0	0	0
GO:0008015	0	7.67347315237692	0	0	14.3846717587432	0	0	0	0	0	0	0	0	0	0	0	0	15.7745059465682	0	0	0	0	0	0
GO:0003012	0	12.6492396208223	18.1355018017187	0	35.2379416477962	0	0	0	0	0	18.9084410947874	0	0	0	0	0	0	26.1358723498966	0	0	0	0	0	0
GO:0006936	0	12.3568955352648	16.4507750893408	0	38.7056916499676	0	0	0	0	0	18.8196668859628	0	0	0	4.983506626708	0	0	23.3529670716376	0	0	0	0	0	0
KEGG:05410	0	5.35594647938467	0	0	12.0055837847808	0	0	0	0	0	10.7336005881692	0	0	0	5.78282568199665	0	0	7.08449245748219	0	0	0	0	0	0
KEGG:04270	0	11.9239057537665	0	0	0	0	0	0	0	0	11.7004605888171	0	0	0	5.09130319716371	0	0	0	0	0	0	0	0	0
KEGG:04810	0	6.18504929618065	0	0	0	0	0	0	0	0	11.289781913656	0	0	0	0	0	0	0	0	0	0	0	0	23.8111133994082
KEGG:04510	0	12.6368555616226	0	0	0	0	0	7.72873583105197	0	0	25.9670950182104	26.3500872704665	0	0	7.05509586688085	0	0	0	0	0	0	0	0	0
KEGG:05412	0	8.09192545601189	0	0	6.90775527898214	0	0	0	0	0	8.1050835405894	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG:04512	0	15.1360171785462	0	9.5195866223438	0	0	0	16.6389716105778	0	0	26.5390978154112	23.2704735129318	0	0	0	0	0	0	0	0	0	0	0	0
KEGG:05414	0	4.82581685710371	0	0	13.4034009071374	0	0	0	0	0	9.97605824537096	0	0	0	0	0	0	0	0	0	0	0	0	0
REAC:3781865	0	9.62737211645581	0	10.6006427544936	0	0	0	0	0	5.417100902538	6.37712702791997	0	0	0	0	0	0	0	0	0	0	0	0	0
REAC:397014	0	6.25023527606534	9.44353425914389	0	17.4728913450188	0	0	0	0	0	14.0652547910757	5.9716619198118	0	0	0	0	0	10.7290239211418	0	0	0	0	0	0
REAC:445355	0	12.2262753528477	0	4.69838256771027	0	0	0	0	0	0	27.5088034832043	14.1636505994532	0	0	0	0	0	0	0	0	0	0	0	0
REAC:446728	0	6.0448653238351	0	0	0	0	0	0	0	0	8.02861317659757	6.1516332992608	0	0	0	0	0	0	0	0	0	0	0	0
REAC:446353	0	15.5874673998962	0	0	0	0	0	0	0	0	0	6.4377516497364	0	0	8.91023577952584	0	0	0	0	0	0	0	0	0
REAC:1474244	0	16.6979141462113	0	31.9738270374491	0	0	0	26.7390230766234	0	10.8816536881284	33.5344747857138	47.7230151760331	0	0	0	0	0	0	0	6.93924594607351	0	0	0	0
REAC:216083	0	4.8208417224636	0	0	0	0	0	5.54934612135178	0	0	6.77672701657573	10.2100127127894	0	0	0	0	0	0	0	0	0	0	0	0
REAC:3000171	0	15.5471161043726	0	0	0	0	0	11.094215130112	0	0	15.9274752913497	13.0270531976	0	0	0	0	0	0	0	0	0	0	0	0
REAC:1566977	0	4.95048137127651	0	0	0	0	0	6.36543098815677	0	0	0	5.33290881131766	0	0	0	0	0	0	0	0	0	0	0	0
REAC:3000178	0	6.21962064024574	0	0	0	0	0	4.79149976417958	0	0	6.37126190846757	8.40833878650415	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008544	0	0	52.8284288764566	0	0	0	0	6.08797544748883	0	0	0	0	0	0	5.42615073805792	0	0	0	0	0	0	0	0	0
GO:0043588	0	0	42.8820162792035	0	0	0	0	0	0	0	0	10.8399809917278	0	0	8.12853520162445	0	0	0	0	0	0	0	0	0
GO:0031032	0	0	6.38896148556697	0	12.5513838308186	0	0	0	0	0	5.03749274826614	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0055002	0	0	5.13280292807046	0	22.7406719877068	0	0	0	0	0	0	0	0	0	0	0	0	11.2739085644997	0	0	0	0	0	0
GO:0030239	0	0	5.76672227443007	0	23.8221388694199	0	0	0	0	0	0	0	0	0	0	0	0	6.18020667170486	0	0	0	0	0	0
GO:0044057	0	0	8.00436956498757	0	10.6931456334769	0	0	0	0	0	0	0	0	0	0	0	0	13.9297997043664	0	0	0	0	0	0
GO:0006941	0	0	12.1125823024428	0	28.7396837404502	0	0	0	0	0	0	0	0	0	0	0	0	16.7159326517139	0	0	0	0	0	0
GO:0090257	0	0	9.01972001236753	0	12.9696422903867	0	0	0	0	0	0	0	0	0	0	0	0	9.34730622704934	0	0	0	0	0	0
GO:0006937	0	0	8.77855795555064	0	15.3116197850914	0	0	0	0	0	0	0	0	0	0	0	0	9.58430681302498	0	0	0	0	0	0
GO:0006942	0	0	9.87781980578755	0	17.5620191249148	0	0	0	0	0	0	0	0	0	0	0	0	7.11232244472341	0	0	0	0	0	0
GO:0030029	0	0	7.78242433616547	0	14.9580747341616	0	0	0	0	0	5.83617166270195	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030048	0	0	13.5228409440015	0	34.0940905736492	0	0	0	0	0	0	0	0	0	0	0	0	9.89353722168296	0	0	0	0	0	0
GO:0070252	0	0	15.4709924088998	0	37.7677025556324	0	0	0	0	0	0	0	0	0	0	0	0	11.7613868242687	0	0	0	0	0	0
GO:0033275	0	0	11.0304993157259	4.66810998576197	41.660963284605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030049	0	0	11.0304993157259	4.66810998576197	41.660963284605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REAC:390522	0	0	14.055037588529	0	33.6426883703541	0	0	0	0	0	0	0	0	0	0	0	0	5.02220193046772	0	0	0	0	0	0
GO:0072359	0	0	0	10.5729182064788	6.53619172254965	0	0	12.5401477575517	0	0	0	0	0	0	0	0	0	14.6664818237178	0	0	0	0	0	0
GO:0072358	0	0	0	10.5729182064788	6.53619172254965	0	0	12.5401477575517	0	0	0	0	0	0	0	0	0	14.6664818237178	0	0	0	0	0	0
GO:0002253	0	0	0	10.1442860390891	0	0	0	5.74148434184021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9637929093466	9.15207146385221
GO:0002443	0	0	0	8.12515110364021	0	0	0	7.38740528527968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80851111000612
GO:1903035	0	0	0	7.15621663828064	0	0	0	4.98936315882072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8869839299949	0
GO:0002526	0	0	0	26.2249241275125	0	0	0	4.84215914412435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.7173975085015	0
GO:0006959	0	0	0	33.2774785239655	0	0	0	9.76372561016097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1025607501081	0
GO:0006897	0	0	0	12.789468962131	0	0	0	12.4778813688257	0	0	0	0	0	0	0	0	0	0	0	8.14562963498375	0	0	13.7385495168281	0
GO:0006898	0	0	0	10.2601624964749	0	0	0	10.780557571257	0	0	0	0	0	0	0	0	0	0	0	9.18078156973464	0	0	0	0
GO:0016485	0	0	0	10.5086238557734	0	0	0	0	0	0	0	0	0	0	0	0	4.72960026436627	0	0	0	0	0	26.8609128942325	0
GO:0009617	0	0	0	7.28317626574192	0	0	0	6.38302675004716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3086929555958	0
GO:0042742	0	0	0	7.49294531803699	0	0	0	6.82157758274108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85967318849944	0
GO:0061045	0	0	0	10.5159768300786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.63151416132769	0	0	15.8254260369955	0
GO:0050819	0	0	0	11.4176152851659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35594647938467	0	0	17.3559700069599	0
GO:0009887	0	0	0	6.96963068270022	4.60517018598809	0	0	0	0	0	0	0	0	0	0	0	0	4.97913662703689	0	0	0	0	0	0
GO:0010769	0	0	0	4.61219480092506	0	0	0	0	0	0	6.28181684811564	0	0	0	0	36.7015995455296	0	0	0	0	0	0	0	0
GO:0022617	0	0	0	24.0814037291481	0	7.03445293202809	0	16.3742790563507	0	16.5659464755629	17.6276882284227	33.5418277600191	0	0	0	0	0	0	0	0	0	0	0	0
